Tour,Customer_Name,Address,City,State,# of Visits,Serve Time
M,-----------------,-----------------,-----------------,---,----,----
M,WALMART 1042,488 HWY 71 W,BASTROP,TX,1 per week,"Monday, July 20, 2015"
M,BROOKSHIRE B 0034,1400 FANNIN,COLUMBUS,TX,1 per week,"Monday, July 20, 2015"
M,BUC EES 0028,1700 HWY 71 E,BASTROP,TX,1 per week,"Monday, July 20, 2015"
M,HEB 0256,2105 MILAM ST,COLUMBUS,TX,1 per week,"Monday, July 20, 2015"
M,WALMART 0503,2103 MILAM ST,COLUMBUS,TX,1 per week,"Monday, July 20, 2015"
M,BREAD BASKET,FM 812 2287,DALE,TX,1 per month,"Monday, July 20, 2015"
M,SONIC 2378 MANN HILL,717 E TRAVIS,LA GRANGE,TX,semi annually,"Monday, July 20, 2015"
R,-----------------,-----------------,-----------------,---,----,----
R,EL RANCHO 0018,8752 RESEARCH BLVD,AUSTIN,TX,1 per week,"Tuesday, July 21, 2015"
R,HEB 0091,2508 E RIVERSIDE DR,AUSTIN,TX,1 per week,"Tuesday, July 21, 2015"
R,LA MICHOACANA AUS   0001,1917 E 7TH ST,AUSTIN,TX,1 per week,"Tuesday, July 21, 2015"
R,SONIC 4057 CONWAY GRP,11215 HWY 290 E,MANOR,TX,1 per week,"Tuesday, July 21, 2015"
R,TARGET 0095,8601 RESEARCH BLVD,AUSTIN,TX,1 per week,"Tuesday, July 21, 2015"
R,WALMART 4554,2525 W ANDERSON LN,AUSTIN,TX,1 per week,"Tuesday, July 21, 2015"
R,FOREST BLUFF,14300 A FM 969,DEL VALLE,TX,1 per month,"Tuesday, July 21, 2015"
R,HEB 0628,2512 E RIVERSIDE,AUSTIN,TX,1 per month,"Tuesday, July 21, 2015"
R,SONIC 1562 CONWAY GRP,7112 ED BLUESTEIN BL,AUSTIN,TX,semi annually,"Tuesday, July 21, 2015"
T,-----------------,-----------------,-----------------,---,----,----
T,HEB 0475,1080 HWY 290 E,ELGIN,TX,1 per week,"Wednesday, July 22, 2015"
T,HEB 0582,400 HWY 71 W,BASTROP,TX,1 per week,"Wednesday, July 22, 2015"
T,WALMART 0473,US HWY 290/2374 E AU,GIDDINGS,TX,1 per week,"Wednesday, July 22, 2015"
T,WALMART 3169,11923 US HWY 290 E,MANOR,TX,1 per week,"Wednesday, July 22, 2015"
T,WALMART 3170,1320 W HWY 290,ELGIN,TX,1 per week,"Wednesday, July 22, 2015"
T,SONIC 1984 CONWAY GRP,1134 HWY 290,ELGIN,TX,semi annually,"Wednesday, July 22, 2015"
T,SONIC 2112 KEN HILL,1254 E AUSTIN,GIDDINGS,TX,semi annually,"Wednesday, July 22, 2015"
W,-----------------,-----------------,-----------------,---,----,----
W,EL RANCHO 0024,6800 BERKMAN,AUSTIN,TX,1 per week,"Thursday, July 23, 2015"
W,FIESTA 0025,3909 N IH 35,AUSTIN,TX,1 per week,"Thursday, July 23, 2015"
W,HEB 0161,7112 ED BLUESTEIN,AUSTIN,TX,1 per week,"Thursday, July 23, 2015"
W,HEB 0183,9414 N LAMAR BLVD,AUSTIN,TX,1 per week,"Thursday, July 23, 2015"
W,HEB 0639,1801 E 51ST ST,AUSTIN,TX,1 per week,"Thursday, July 23, 2015"
W,LA MICHOACANA AUS   0002,6908 CAMERON RD,AUSTIN,TX,1 per week,"Thursday, July 23, 2015"
W,TARGET 1542,5621 N IH 35,AUSTIN,TX,1 per week,"Thursday, July 23, 2015"
W,WALMART 1185,1030 NORWOOD PARK BL,AUSTIN,TX,1 per week,"Thursday, July 23, 2015"
W,GAMA 1163 WHISTLE STOP GROCERY,834 E RUNDBERG,AUSTIN,TX,1 per month,"Thursday, July 23, 2015"
W,SONIC 3356 CONWAY GRP,2706 GONZALEZ,AUSTIN,TX,semi annually,"Thursday, July 23, 2015"
